shoulder_angle,torso_angle,shoulder_width,hip_width,torso_length,posture
75.675735,7.258864347834158,250.65002,146.03958,72.79999,0
74.126335,9.422863826564862,305.46036,179.40121,105.93922,0
76.01484,2.6238819146423533,346.99118,206.57246,126.17972,0
75.01294,7.466052151605047,311.59335,185.31836,118.80317,0
78.51676,4.418517307220863,333.32797,198.53568,115.606804,0
80.08769,6.312405544767093,335.06122,200.48402,109.721375,0
80.78042,5.817182741004189,335.7399,200.32715,106.728935,0
80.18185,6.420767931256874,339.89368,202.9466,105.352905,0
80.644356,3.6733564374374676,336.31107,200.056,107.33221,0
80.22194,3.130087679807156,334.68042,198.49652,109.68756,0
80.43941,3.2643632157207207,336.20255,199.41385,108.63437,0
82.43189,1.0888690742552327,330.2289,196.11154,116.75983,0
80.79348,0.74737524020453,318.05957,189.96695,115.85122,0
80.24088,1.509159551297166,306.17862,184.9736,117.890686,0
77.99545,3.5157804138207966,313.2311,185.40564,98.13697,0
80.949745,2.1054662762109118,309.4638,184.91736,106.19047,0
82.56009,1.9713188493724065,315.7796,188.51843,109.67682,0
83.278076,0.4258494586861906,315.7704,188.87872,111.252495,0
81.663826,0.5584255781560901,311.46194,188.37173,116.33127,0
79.59453,0.24828998030412666,313.07858,188.47498,117.47974,0
79.39511,0.013451872136333504,313.5218,188.71277,117.1156,0
77.408325,3.239638771023822,305.10446,183.13907,116.70959,0
80.37222,4.450876732407254,310.51706,183.87906,119.98793,0
81.50738,2.063103055852691,313.41986,185.50891,118.11013,0
81.6362,2.1934001575894353,313.05487,185.36078,119.35222,0
82.11903,0.27177993500467595,315.99844,187.13043,117.935104,0
81.61539,1.3747279913253052,315.1247,186.61646,117.987206,0
81.03309,0.14326217719092713,314.2455,185.63324,118.26749,0
81.293335,1.4749606297102906,315.5257,186.87607,115.52778,0
81.54878,2.6499049238144936,313.23965,185.75314,116.438286,0
80.6597,2.3257581501126645,312.9425,185.5073,114.80887,0
80.26264,2.2004339739018124,312.29462,184.99829,116.443344,0
80.17981,0.8721964971957666,310.40472,183.82507,115.23097,0
79.63357,0.31573089676979454,307.2057,182.2985,115.712265,0
79.48257,3.999158119141248,315.62564,187.45651,108.32189,0
79.81311,4.808797332124119,315.9763,187.81323,107.33393,0
79.71054,4.883833784109916,317.63184,188.79172,107.02327,0
80.604866,1.3474742232718149,308.72534,182.83926,114.41256,0
80.778366,1.6152106708563605,310.64517,184.20529,113.57879,0
80.79157,4.752671084896867,319.24817,189.60135,106.68249,0
80.72068,3.903084587942494,319.4889,189.68555,105.28338,0
81.243355,4.09394068620191,321.90793,191.57489,104.73367,0
81.7739,3.844231948816604,322.0403,191.58868,104.46567,0
81.69701,4.781999911211618,320.91153,190.73703,105.45167,0
82.329865,1.4465001041006327,314.59598,186.50912,112.292465,0
82.40388,1.937888622763127,313.78333,186.27457,112.14477,0
83.472336,1.045670028883424,315.95853,187.94492,112.04768,0
82.98079,1.5817762795193382,318.29324,189.2351,111.45494,0
82.267784,5.449450261992975,324.9688,193.54779,104.73937,0
82.64211,2.753606947879297,316.165,188.17035,111.40207,0
82.77271,2.4945138077813027,317.38852,188.70685,111.19662,0
82.47195,3.3712334239247803,318.40237,189.2428,110.62063,0
80.57311,3.564715847018313,312.88354,185.79431,106.21142,0
80.684425,3.630316702345918,313.50497,186.2027,104.77806,0
80.92724,4.07102523209784,312.6889,185.58456,105.06429,0
81.26174,3.571157009377622,311.11624,185.15784,105.48116,0
80.9402,4.116991422096977,311.4866,185.08789,105.722336,0
128.21118,4.116742058941325,342.49075,209.46695,80.27322,1
132.57079,1.1177733167355575,359.20032,217.95663,72.69276,1
126.8081,5.995725863316544,363.6989,217.97427,61.63919,1
114.82884,3.571540640550809,398.60226,238.63959,46.688457,1
109.13672,4.256094336778654,411.18353,248.0835,35.026646,1
115.34553,3.7143629811149927,377.4002,230.41528,51.431797,1
108.64798,18.804366719676004,383.33597,233.09293,54.64741,1
100.56517,1.2384187976591803,343.2085,206.74576,61.500267,1
99.3049,0.5404005431919027,327.3845,197.85788,65.74221,1
97.96622,0.1193620755890447,307.4973,185.57352,68.08834,1
101.83392,28.970218433441936,302.1812,180.56787,57.597775,1
123.01488,5.817636105528329,284.42706,173.39902,60.312866,1
122.348564,4.597278613561158,284.0002,174.82559,66.819046,1
120.55512,3.929926888663084,271.45523,165.06116,67.7972,1
126.465004,4.031541146726447,271.93665,165.65308,67.45191,1
121.571655,5.2421651825510756,276.22742,167.58304,60.98542,1
113.94802,7.282454072933902,287.06442,174.38034,67.4394,1
110.539604,2.7899249012752643,295.41812,182.17474,71.97386,1
112.85609,4.730345001947878,301.87283,185.43988,71.74744,1
109.24691,28.653148660323847,290.4403,175.75858,76.708954,1
113.84743,29.64215960483231,290.3177,174.33374,75.764725,1
116.47592,30.093581657050976,294.64862,178.01123,76.652275,1
113.13951,30.196652924004344,291.7269,175.35641,69.2549,1
112.992195,28.601735201622674,290.4875,175.32202,68.7145,1
112.374626,31.90099026722289,286.87534,173.15073,73.16069,1
113.155754,31.058875022044553,286.67603,173.25595,72.31743,1
113.63123,28.73540887887168,282.45844,170.5834,71.70762,1
113.47234,22.363255948665557,279.32565,169.04877,71.27236,1
115.50678,21.740510645638302,283.14374,171.14539,69.67983,1
115.17597,21.783886906982556,282.95755,171.21365,69.04282,1
98.46337,22.270912353092676,283.55072,170.97623,70.352715,1
99.45952,27.1777361242689,278.6435,168.09387,74.38762,1
98.453156,26.695480897590286,274.53305,164.87302,73.54444,1
96.91031,25.638549563599437,275.43536,166.48688,75.13768,1
94.135765,24.525432716245984,275.87662,167.21344,74.825195,1
93.99195,24.291078592785578,276.91293,168.00003,73.68456,1
94.33284,22.539940784077583,278.80212,168.75665,74.89122,1
95.27622,22.582650723882917,280.7166,170.21881,73.40941,1
94.96133,22.403725861594246,277.83447,167.98676,71.160805,1
97.43661,22.859703316000438,274.18985,165.67697,76.12537,1
98.46291,23.12613703197488,276.78818,167.18231,74.36621,1
95.58242,21.72526555477603,277.6114,168.24426,73.04164,1
95.43685,23.789556836349096,281.30618,170.91687,74.97647,1
94.921455,24.878369109450002,279.01846,168.96286,76.02987,1
95.0692,25.2325526760272,276.26813,166.86975,74.90125,1
98.66772,29.41721539093578,270.62732,163.39554,78.47259,1
93.33356,15.559528224847147,258.525,157.80771,78.043785,1
105.03384,14.914374535905141,313.93817,187.31128,68.487724,1
116.693794,21.46337353624857,312.2752,186.85721,76.95617,1
117.93635,1.2318571251583847,325.98566,195.59648,72.35791,1
113.792145,0.8285965681870837,327.92465,197.47276,69.665306,1
96.26939,22.41660123069112,300.40808,179.81161,72.849434,1
103.5475,6.142527474478969,328.51013,194.76067,73.51171,1
93.746376,26.69407166315937,290.5667,173.1662,79.84487,1
105.145966,1.2655328875523886,331.06366,196.16345,74.53109,1
103.93899,2.694961176629949,327.77298,194.95157,72.12799,1
