study_hours,attendance,assignments,result
4.4,51.6,9,1
9.6,81.8,5,1
7.6,65.7,2,1
6.4,75.4,9,1
2.4,95.4,5,0
2.4,62.5,7,0
1.5,70.5,9,0
8.8,87.8,5,1
6.4,61.4,4,1
7.4,53.8,10,1
1.2,64.5,4,0
9.7,58.1,10,1
8.5,96.5,3,1
2.9,90.4,3,0
2.6,81.7,3,0
2.7,93.6,7,1
3.7,90.2,4,1
5.7,59.3,10,1
4.9,94.6,5,1
3.6,77,2,0
6.5,90.4,5,1
2.3,94.8,2,0
3.6,65.9,6,0
4.3,55.5,5,0
5.1,61.4,9,1
8.1,71.4,9,1
2.8,90.9,8,1
5.6,93,4,1
6.3,50.3,2,0
1.4,75.5,2,0
6.5,70.9,4,1
2.5,61.1,7,0
1.6,56,8,0
9.5,66.9,7,1
9.7,97.1,7,1
8.3,66.2,7,1
3.7,75.9,4,0
1.9,85.2,7,0
7.2,68.2,9,1
5,98.6,3,1
2.1,98.1,6,1
5.5,62.6,2,0
1.3,74.9,2,0
9.2,65,6,1
3.3,64.2,4,0
7,51.8,5,1
3.8,80.5,4,0
5.7,75.1,2,1
5.9,52.6,2,0
2.7,63.9,6,0
9.7,95.4,7,1
8,62,4,1
9.5,57.2,10,1
9.1,74.5,6,1
6.4,99.3,9,1
9.3,62.1,2,1
1.8,83.6,6,0
2.8,88.1,4,0
1.4,61.9,2,0
3.9,86.4,5,1
4.5,68.4,6,1
3.4,81.6,8,1
8.5,81.7,2,1
4.2,76.8,4,0
3.5,54.5,3,0
5.9,91.8,10,1
2.3,66,7,0
8.2,59.3,4,1
1.7,52,9,0
9.9,79.5,9,1
8,83.9,3,1
2.8,50.8,7,0
1,75.6,8,0
8.3,61.3,3,1
7.4,82.3,3,1
7.6,58.7,2,1
7.9,84.5,9,1
1.7,69.3,2,0
4.2,96.8,10,1
2,56.9,7,0
8.8,67.1,8,1
6.6,55.7,8,1
4,96.2,4,1
1.6,93.9,3,0
3.8,62.9,10,1
3.9,83,9,1
7.6,90.9,8,1
6.7,77.8,10,1
9,76.5,5,1
5.2,62.1,5,1
2.1,54.7,2,0
7.4,94.9,9,1
7.8,95,4,1
6.1,81.7,8,1
7.9,67,3,1
5.4,67.5,3,0
5.7,86.3,8,1
4.8,94.9,7,1
1.2,94.4,4,0
2,89,10,1
